schema_version,study_id,repair_round,repair_row_id,repair_attempt_id,variant,variant_order,warm_start,repair_reason,target_task_id,target_factor,truth_model,study_scenario,background_toy_index,mass_GeV,mass_MeV,target_config,target_config_sha256,nominal_kernel_constant_init,warm_start_source_factor,warm_start_source_attempt_path,warm_start_ls_opt,warm_start_const_opt,current_target_lml_at_plan,source_lml_at_plan,repair_base_seed,planned_optimizer_seed,optimizer_restarts,expected_limit_bands,interpolation_used,fit_code_commit,dry_run,execution_authorized,fit_launched
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170__salt_03,salt_03,3,False,lower_factor_optimizer_miss,scan__f20__gengamma__2021_1pct_x100__t0001,20,gengamma,2021_1pct_x100,1,0.17,170,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,,,,,1940.2741524157,,3730184446,929153623,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170,repair_r02__f20__gengamma__2021_1pct_x100__t0001__m170__warm,warm,4,True,lower_factor_optimizer_miss,scan__f20__gengamma__2021_1pct_x100__t0001,20,gengamma,2021_1pct_x100,1,0.17,170,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,25.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f25/gengamma/2021_1pct_x100/toy_0001/m170MeV/warm/attempt_001,0.3652119359473478,11130.36265423907,1940.2741524157,1940.2763111446548,27872115,1740206988,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__gengamma__2021_1pct_x100__t0007__m090,repair_r02__f20__gengamma__2021_1pct_x100__t0007__m090__salt_01,salt_01,1,False,higher_factor_optimizer_miss,scan__f20__gengamma__2021_1pct_x100__t0007,20,gengamma,2021_1pct_x100,7,0.09,90,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,,,,,1994.9111186722284,,1696196125,1168524932,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__gengamma__2021_1pct_x100__t0007__m090,repair_r02__f20__gengamma__2021_1pct_x100__t0007__m090__salt_02,salt_02,2,False,higher_factor_optimizer_miss,scan__f20__gengamma__2021_1pct_x100__t0007,20,gengamma,2021_1pct_x100,7,0.09,90,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,,,,,1994.9111186722284,,3551604677,893923564,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__gengamma__2021_1pct_x100__t0007__m090,repair_r02__f20__gengamma__2021_1pct_x100__t0007__m090__salt_03,salt_03,3,False,higher_factor_optimizer_miss,scan__f20__gengamma__2021_1pct_x100__t0007,20,gengamma,2021_1pct_x100,7,0.09,90,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,,,,,1994.9111186722284,,211818462,3555255093,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__gengamma__2021_1pct_x100__t0007__m090,repair_r02__f20__gengamma__2021_1pct_x100__t0007__m090__warm,warm,4,True,higher_factor_optimizer_miss,scan__f20__gengamma__2021_1pct_x100__t0007,20,gengamma,2021_1pct_x100,7,0.09,90,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,15.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f15/gengamma/2021_1pct_x100/toy_0007/m090MeV/salt_02/attempt_001,0.3759353566291801,16855.998938664925,1994.9111186722284,1994.9134967855296,3778381939,3416931463,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__sigpowexpq__2021_10pct_x10__t0001__m190,repair_r02__f20__sigpowexpq__2021_10pct_x10__t0001__m190__salt_01,salt_01,1,False,higher_factor_optimizer_miss;lower_factor_optimizer_miss,scan__f20__sigpowexpq__2021_10pct_x10__t0001,20,sigpowexpq,2021_10pct_x10,1,0.19,190,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,,,,,1994.1710805026728,,3179801060,1657625135,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__sigpowexpq__2021_10pct_x10__t0001__m190,repair_r02__f20__sigpowexpq__2021_10pct_x10__t0001__m190__salt_02,salt_02,2,False,higher_factor_optimizer_miss;lower_factor_optimizer_miss,scan__f20__sigpowexpq__2021_10pct_x10__t0001,20,sigpowexpq,2021_10pct_x10,1,0.19,190,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,,,,,1994.1710805026728,,1872745370,3024325326,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__sigpowexpq__2021_10pct_x10__t0001__m190,repair_r02__f20__sigpowexpq__2021_10pct_x10__t0001__m190__salt_03,salt_03,3,False,higher_factor_optimizer_miss;lower_factor_optimizer_miss,scan__f20__sigpowexpq__2021_10pct_x10__t0001,20,sigpowexpq,2021_10pct_x10,1,0.19,190,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,,,,,1994.1710805026728,,3059800590,1042961950,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f20__sigpowexpq__2021_10pct_x10__t0001__m190,repair_r02__f20__sigpowexpq__2021_10pct_x10__t0001__m190__warm,warm,4,True,higher_factor_optimizer_miss;lower_factor_optimizer_miss,scan__f20__sigpowexpq__2021_10pct_x10__t0001,20,sigpowexpq,2021_10pct_x10,1,0.19,190,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_20.yaml,427be3334318ccf269e1819ae9c7cc6c9b79d5a22e23d4af338b178753f11a00,1.0,25.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f25/sigpowexpq/2021_10pct_x10/toy_0001/m190MeV/salt_03/attempt_001,0.3849847406613839,76.99931750651115,1994.1710805026728,2021.474966129054,1342019842,3648564419,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_10pct_x10__t0006__m150,repair_r02__f25__gengamma__2021_10pct_x10__t0006__m150__salt_01,salt_01,1,False,higher_factor_optimizer_miss,scan__f25__gengamma__2021_10pct_x10__t0006,25,gengamma,2021_10pct_x10,6,0.15,150,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,,,,,1575.771114367453,,702476797,3284953673,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_10pct_x10__t0006__m150,repair_r02__f25__gengamma__2021_10pct_x10__t0006__m150__salt_02,salt_02,2,False,higher_factor_optimizer_miss,scan__f25__gengamma__2021_10pct_x10__t0006,25,gengamma,2021_10pct_x10,6,0.15,150,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,,,,,1575.771114367453,,4224365321,2387480949,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_10pct_x10__t0006__m150,repair_r02__f25__gengamma__2021_10pct_x10__t0006__m150__salt_03,salt_03,3,False,higher_factor_optimizer_miss,scan__f25__gengamma__2021_10pct_x10__t0006,25,gengamma,2021_10pct_x10,6,0.15,150,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,,,,,1575.771114367453,,2272289553,2050946815,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_10pct_x10__t0006__m150,repair_r02__f25__gengamma__2021_10pct_x10__t0006__m150__warm,warm,4,True,higher_factor_optimizer_miss,scan__f25__gengamma__2021_10pct_x10__t0006,25,gengamma,2021_10pct_x10,6,0.15,150,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,15.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f15/gengamma/2021_10pct_x10/toy_0006/m150MeV/warm/attempt_001,0.3161430074921912,1074.7073276444746,1575.771114367453,1988.140863128407,2083815467,1374443436,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_1pct_x100__t0006__m110,repair_r02__f25__gengamma__2021_1pct_x100__t0006__m110__salt_01,salt_01,1,False,higher_factor_optimizer_miss,scan__f25__gengamma__2021_1pct_x100__t0006,25,gengamma,2021_1pct_x100,6,0.11,110,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,,,,,1719.2744144651197,,1656358026,2003153719,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_1pct_x100__t0006__m110,repair_r02__f25__gengamma__2021_1pct_x100__t0006__m110__salt_02,salt_02,2,False,higher_factor_optimizer_miss,scan__f25__gengamma__2021_1pct_x100__t0006,25,gengamma,2021_1pct_x100,6,0.11,110,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,,,,,1719.2744144651197,,653531224,3607782165,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_1pct_x100__t0006__m110,repair_r02__f25__gengamma__2021_1pct_x100__t0006__m110__salt_03,salt_03,3,False,higher_factor_optimizer_miss,scan__f25__gengamma__2021_1pct_x100__t0006,25,gengamma,2021_1pct_x100,6,0.11,110,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,,,,,1719.2744144651197,,2945045234,237756515,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_1pct_x100__t0006__m110,repair_r02__f25__gengamma__2021_1pct_x100__t0006__m110__warm,warm,4,True,higher_factor_optimizer_miss,scan__f25__gengamma__2021_1pct_x100__t0006,25,gengamma,2021_1pct_x100,6,0.11,110,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,20.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f20/gengamma/2021_1pct_x100/toy_0006/m110MeV/warm/attempt_001,0.3294690894470687,1808.8803058888632,1719.2744144651197,1968.9679127423376,1349497401,124042060,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_1pct_x100__t0007__m090,repair_r02__f25__gengamma__2021_1pct_x100__t0007__m090__salt_01,salt_01,1,False,higher_factor_optimizer_miss,scan__f25__gengamma__2021_1pct_x100__t0007,25,gengamma,2021_1pct_x100,7,0.09,90,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,,,,,1994.90991783629,,3351411693,2548445510,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_1pct_x100__t0007__m090,repair_r02__f25__gengamma__2021_1pct_x100__t0007__m090__salt_02,salt_02,2,False,higher_factor_optimizer_miss,scan__f25__gengamma__2021_1pct_x100__t0007,25,gengamma,2021_1pct_x100,7,0.09,90,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,,,,,1994.90991783629,,4090714997,3797129455,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_1pct_x100__t0007__m090,repair_r02__f25__gengamma__2021_1pct_x100__t0007__m090__salt_03,salt_03,3,False,higher_factor_optimizer_miss,scan__f25__gengamma__2021_1pct_x100__t0007,25,gengamma,2021_1pct_x100,7,0.09,90,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,,,,,1994.90991783629,,2530867535,2754282814,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_1pct_x100__t0007__m090,repair_r02__f25__gengamma__2021_1pct_x100__t0007__m090__warm,warm,4,True,higher_factor_optimizer_miss,scan__f25__gengamma__2021_1pct_x100__t0007,25,gengamma,2021_1pct_x100,7,0.09,90,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,15.0,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f15/gengamma/2021_1pct_x100/toy_0007/m090MeV/salt_02/attempt_001,0.3759353566291801,16855.998938664925,1994.90991783629,1994.9134967855296,2809993673,4148420825,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
1,v4p1_2021_ls_exposure_ensembles_20260804,2,repair_r02__f25__gengamma__2021_1pct_x100__t0007__m250,repair_r02__f25__gengamma__2021_1pct_x100__t0007__m250__salt_01,salt_01,1,False,higher_factor_optimizer_miss,scan__f25__gengamma__2021_1pct_x100__t0007,25,gengamma,2021_1pct_x100,7,0.25,250,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/configs/config_2021_lsupper_factor_25.yaml,f313a15726b65853d2fa739812a6933b25117e0f96ed7f7c8c582aa11a9ca89c,1.0,,,,,1879.8450554414576,,2764381491,2383251113,12,False,False,df4d4562060b4cdde46994cc58128d580d289adb,True,False,False
